period,year,month,mortgage_5y_posted_rate_pct,series_id,source_url
1976-11,1976,11,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1976-12,1976,12,10.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-01,1977,1,10.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-02,1977,2,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-03,1977,3,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-04,1977,4,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-05,1977,5,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-06,1977,6,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-07,1977,7,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-08,1977,8,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-09,1977,9,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-10,1977,10,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-11,1977,11,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1977-12,1977,12,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-01,1978,1,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-02,1978,2,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-03,1978,3,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-04,1978,4,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-05,1978,5,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-06,1978,6,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-07,1978,7,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-08,1978,8,10.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-09,1978,9,10.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-10,1978,10,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-11,1978,11,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1978-12,1978,12,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-01,1979,1,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-02,1979,2,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-03,1979,3,11.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-04,1979,4,11.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-05,1979,5,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-06,1979,6,11.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-07,1979,7,11.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-08,1979,8,12.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-09,1979,9,12.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-10,1979,10,14.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-11,1979,11,14.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1979-12,1979,12,13.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-01,1980,1,13.25,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-02,1980,2,14.5,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-03,1980,3,15.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-04,1980,4,16.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-05,1980,5,13.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-06,1980,6,13.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-07,1980,7,13.5,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-08,1980,8,14.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-09,1980,9,14.5,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-10,1980,10,15.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-11,1980,11,15.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1980-12,1980,12,16.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-01,1981,1,15.5,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-02,1981,2,15.5,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-03,1981,3,16.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-04,1981,4,17.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-05,1981,5,18.5,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-06,1981,6,18.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-07,1981,7,20.0,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
1981-08,1981,8,21.75,V122521,https://www.bankofcanada.ca/wp-content/uploads/2010/09/selected_historical_v122521.pdf
