period,series_id,category,measure,loan_product,rate_pct,source_url
2025-11,V122667780,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 5 years and over",3.94,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667780,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 5 years and over",3.97,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667780,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 5 years and over",3.94,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667780,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 5 years and over",3.89,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667781,Mortgages,Funds advanced,"Residential mortgages, uninsured, Total",4.37,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667781,Mortgages,Funds advanced,"Residential mortgages, uninsured, Total",4.3,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667781,Mortgages,Funds advanced,"Residential mortgages, uninsured, Total",4.28,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667781,Mortgages,Funds advanced,"Residential mortgages, uninsured, Total",4.25,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667781,Mortgages,Funds advanced,"Residential mortgages, uninsured, Total",4.22,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667782,Mortgages,Funds advanced,"Residential mortgages, uninsured, variable rate",3.97,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667782,Mortgages,Funds advanced,"Residential mortgages, uninsured, variable rate",3.88,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667782,Mortgages,Funds advanced,"Residential mortgages, uninsured, variable rate",3.88,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667782,Mortgages,Funds advanced,"Residential mortgages, uninsured, variable rate",3.86,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667782,Mortgages,Funds advanced,"Residential mortgages, uninsured, variable rate",3.84,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667783,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed <1 year",7.8,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667783,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed <1 year",7.67,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667783,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed <1 year",7.7,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667783,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed <1 year",7.43,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667783,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed <1 year",7.98,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667784,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 1 to <3 years",5.37,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667784,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 1 to <3 years",5.5,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667784,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 1 to <3 years",5.5,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667784,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 1 to <3 years",5.48,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667784,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 1 to <3 years",5.54,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667785,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 3 to <5 years",4.07,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667785,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 3 to <5 years",4.04,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667785,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 3 to <5 years",4.02,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667785,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 3 to <5 years",4.01,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667785,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 3 to <5 years",3.99,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667786,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 5 years and over",4.4,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667786,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 5 years and over",4.26,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667786,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 5 years and over",4.31,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667786,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 5 years and over",4.33,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667786,Mortgages,Funds advanced,"Residential mortgages, uninsured, fixed 5 years and over",4.31,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667787,Mortgages,Outstanding balances,"Residential mortgages, insured, Total",3.83,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667787,Mortgages,Outstanding balances,"Residential mortgages, insured, Total",3.85,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667787,Mortgages,Outstanding balances,"Residential mortgages, insured, Total",3.87,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667787,Mortgages,Outstanding balances,"Residential mortgages, insured, Total",3.88,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667787,Mortgages,Outstanding balances,"Residential mortgages, insured, Total",3.88,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667792,Mortgages,Outstanding balances,"Residential mortgages, insured, fixed 5 years and over",3.55,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667792,Mortgages,Outstanding balances,"Residential mortgages, insured, fixed 5 years and over",3.6,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667792,Mortgages,Outstanding balances,"Residential mortgages, insured, fixed 5 years and over",3.66,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667792,Mortgages,Outstanding balances,"Residential mortgages, insured, fixed 5 years and over",3.7,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667792,Mortgages,Outstanding balances,"Residential mortgages, insured, fixed 5 years and over",3.74,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667793,Mortgages,Outstanding balances,"Residential mortgages, uninsured, Total",4.28,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667793,Mortgages,Outstanding balances,"Residential mortgages, uninsured, Total",4.29,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667793,Mortgages,Outstanding balances,"Residential mortgages, uninsured, Total",4.3,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
