year,metric,value,unit,source_url
2024,Nominal investment in residential housing,237.7,CAD billions,https://www150.statcan.gc.ca/n1/daily-quotidien/250624/dq250624d-eng.htm
2024,GDP associated with residential housing productive activity,143.4,CAD billions,https://www150.statcan.gc.ca/n1/daily-quotidien/250624/dq250624d-eng.htm
2024,Jobs associated with residential housing productive activity,1.2,million jobs,https://www150.statcan.gc.ca/n1/daily-quotidien/250624/dq250624d-eng.htm
2024,Net stock of housing assets,4.2,CAD trillions,https://www150.statcan.gc.ca/n1/daily-quotidien/250624/dq250624d-eng.htm
2024,Housing assets share of national wealth,25.0,percent,https://www150.statcan.gc.ca/n1/daily-quotidien/250624/dq250624d-eng.htm
